team_id,as_of_date,elo,fifa_rank,attack_strength,defense_strength,avg_goals_scored,avg_goals_conceded,form_index,wc_attack_strength,wc_defense_strength,squad_size,clean_sheet_rate,win_rate
JPN,2026-06-10,1651.345230317739,16,1.12572723153574,0.7096601683528087,1.4270885807779745,0.8996388237918495,0.4054990012389544,0.7480971199743671,0.5551011845214304,26,0.45098776761698706,0.5092147036192809
QAT,2026-06-10,1393.895165311511,42,0.7927390933607829,1.4991777786133822,1.0049582847241807,1.9005132224584758,0.4497474368120831,0.8252770669216799,1.7403853465259447,26,0.19566722068811818,0.3354690859823155
SUI,2026-06-10,1668.37679996685,19,1.6083989996796388,1.0831535323128512,2.0389733689272105,1.3731177445927507,0.5152790137629348,2.077468719999297,0.7292723881702854,23,0.2618661475413072,0.41331802129390255
HAI,2026-06-10,1245.5808336925688,70,1.1163622188230522,1.2751096145367817,1.4152165194768678,1.6164611809764804,0.4270176343476607,0.7566169519898968,3.4372783417896993,23,0.24315794194775409,0.2690493402765817
AUT,2026-06-10,1637.2281468195615,36,1.6187741724562525,0.7751063871881414,2.0521260138826896,0.9826052378028038,0.5788557403685419,0.7449611885764307,1.5946419557821434,23,0.3595550904929899,0.6400665570837526
UZB,2026-06-10,1408.477434577485,52,0.7870604462956797,1.0105606491952317,0.9977594428077232,1.2810914778020146,0.3333643837338205,1.3199336904739747,0.9598771955565664,23,0.3712331151035605,0.17771486748494447
GHA,2026-06-10,1392.0527682479062,45,0.5255855161712496,1.7454571134935888,0.666286705463316,2.2127224474317986,0.03249841947643883,1.2387226400214313,1.3624404123436802,26,0.06560317913795075,0.08359622879482105
KOR,2026-06-10,1582.5340476710296,22,0.9612885640640296,1.123128195112364,1.2186290729919855,1.423793772678,0.6521433956490879,1.4043801276118737,0.7691035505022884,26,0.38322572294075347,0.4416518253835354
CZE,2026-06-10,1495.5587883394453,42,0.7323486897086908,1.3496199608320156,0.9284011463462619,1.710918222939194,0.12887935788068866,0.37489632360171415,1.7223765405547646,23,0.21592077956877828,0.15894261134334503
IRN,2026-06-10,1450.4382703433805,33,0.7473790671694083,0.7007706269320318,0.9474552115212781,0.8883695192085033,0.4294785405752357,1.0128253894764099,0.9436204985724963,25,0.46724331130228863,0.23546345093774687
JOR,2026-06-10,1429.7903250504614,60,0.845426028267757,1.3422766663056098,1.0717497072425477,1.701609101270682,0.3130633154735336,0.4177303975800435,0.9533126149417465,23,0.3037099125495166,0.30762057282032196
PAN,2026-06-10,1430.3949729888445,56,0.9072674791553273,1.5414399515399817,1.1501463435751313,1.9540891356040926,0.2684224998058454,0.8492583811753248,1.3632811700201521,23,0.09464121667774217,0.28280335891204506
URU,2026-06-10,1639.2137841166866,14,0.8233800984259497,0.8692088831451,1.0438020003304966,1.1018993204552032,0.40372719780670807,0.7567780123740958,0.9090326250952981,23,0.39733827417356277,0.2860379037276346
NED,2026-06-10,1681.366959423212,7,1.2399707562029896,1.0283530712122022,1.5719155201228123,1.3036469970907874,0.4255304570946346,1.6741492610258248,0.7307283037814339,23,0.15829405685543663,0.3813975509601008
CRO,2026-06-10,1673.127657935187,10,0.9858139222440729,1.063851003092571,1.2497199603914864,1.3486478568093527,0.5126764582324655,1.4336619674878552,0.6158502837877731,23,0.20804589053260023,0.3652956672206071
BEL,2026-06-10,1700.7479095413332,3,1.7007267994447055,0.8702424527639716,2.1560176626441994,1.1032095804890822,0.28504091227254597,0.8500821711554589,0.6841046953446037,26,0.33884995111625527,0.49131493848066854
ARG,2026-06-10,1757.4124658851983,1,1.2073065213125105,0.6137296637622216,1.5305069485735041,0.7780273678241971,0.6366093542544718,1.0827619816151486,0.8193594223365268,26,0.4659878643127332,0.5574853136565885
POR,2026-06-10,1765.053033132631,6,1.2445163661936796,0.6142705349035078,1.5776780067436025,0.7787130321732321,0.7000744106725959,1.656450294582026,0.9656624715679949,23,0.4586924479511949,0.5114130050051475
